Location,ISO3166-1numericcode,xPosdata,yPosdata,Year1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
HolySee,752,,,7010,7260,7480,7741,8049,8193,8311,8351,8559,8827,8872,9030,9382,9779,10120,10463,10766,11030,11290,11574,11881,12182,12463,12726,12990,13260,13525,13776,14015,14246,14470
Italy,826,,,50616,51114,52410,54278,55611,56180,56222,56415,57110,57904,58867,60210,62717,64716,66700,68527,70113,71511,72840,74144,75361,76397,77255,78018,78775,79541,80255,80880,81434,81936,82370
Malta,925,,,108633,113388,117879,123015,127617,133259,138495,141762,143404,144147,145058,149735,153360,152348,151798,150771,149455,148048,146395,144394,141941,139004,135727,132375,129276,126627,124515,122831,121343,119904,118491
Montenegro,8,,,1263,1420,1636,1896,2151,2411,2681,2967,3281,3107,3122,3082,2902,2897,2935,2960,2954,2915,2855,2785,2710,2634,2554,2465,2370,2269,2161,2049,1940,1840,1755
Portugal,20,,,6,9,13,19,24,31,36,45,55,64,65,81,84,70,70,70,71,72,73,73,72,71,69,67,66,64,63,62,62,61,60
SanMarino,70,,,2661,2932,3215,3525,3746,3972,4145,4370,4527,3879,3793,3833,3835,3810,3758,3681,3584,3469,3340,3206,3069,2931,2793,2656,2521,2391,2271,2164,2071,1990,1919
Serbia,191,,,3850,4030,4193,4329,4423,4501,4598,4716,4776,4617,4428,4378,4316,4240,4162,4072,3977,3876,3771,3664,3554,3444,3333,3224,3118,3016,2923,2837,2757,2683,2615
Slovenia,292,,,20,21,22,23,25,25,27,27,27,27,27,29,31,32,33,33,33,33,33,32,32,32,31,31,30,30,30,29,29,29,28
Spain,300,,,7566,7935,8311,8534,8779,9030,9620,9908,10132,10641,10954,11070,11178,10955,10825,10657,10480,10302,10124,9931,9705,9435,9135,8829,8540,8283,8063,7874,7706,7545,7393
TFYRMacedonia,336,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Austria,470,,,312,314,313,306,304,308,320,338,356,372,387,397,412,419,423,426,428,427,423,417,411,405,400,394,387,380,372,365,358,353,348
Belgium,499,,,395,444,487,534,520,554,581,614,615,620,614,616,622,626,626,623,618,610,600,588,574,561,547,532,518,503,489,475,462,449,437
France,620,,,8417,8661,8875,8889,8670,9186,9756,9929,9890,10078,10279,10480,10585,10350,10161,9991,9845,9713,9576,9411,9216,8990,8752,8514,8295,8099,7934,7793,7661,7531,7407
Germany,674,,,13,14,15,17,19,20,21,23,24,26,27,29,31,32,32,33,33,33,33,33,33,32,32,32,31,31,31,30,30,30,30
Liechtenstein,688,,,6732,7235,7557,7835,8120,8497,8908,9253,9518,9884,9463,9187,9059,8851,8674,8485,8281,8058,7817,7570,7331,7099,6870,6644,6423,6209,6007,5817,5641,5481,5334
Luxembourg,705,,,1473,1527,1587,1629,1670,1743,1836,1945,2007,1991,1989,1997,2052,2068,2075,2070,2054,2030,2003,1974,1942,1905,1865,1824,1786,1756,1733,1718,1709,1701,1693
Monaco,724,,,28070,29100,30451,32192,33923,35909,37705,38734,39192,39764,40750,43855,46601,46122,46194,46095,45920,45819,45647,45347,44840,44076,43114,42075,41102,40302,39730,39351,39044,38716,38337
Netherlands,807,,,1254,1392,1489,1592,1721,1803,1924,1982,1996,1954,2012,2043,2062,2078,2088,2089,2078,2055,2021,1981,1938,1893,1846,1795,1742,1690,1641,1596,1556,1520,1487
Switzerland,926,,,142256,146653,152320,160100,165903,169445,170489,171794,175615,180909,183163,185552,187762,190794,192924,194549,195751,196482,196666,196314,195533,194514,193506,192710,192215,191855,191461,191076,190793,190591,190384
Anguilla,250,,,41880,43528,45866,48952,50844,53011,54053,55380,56943,58224,59387,61242,62961,64395,65720,66896,68007,69049,69931,70613,71137,71602,72061,72557,73109,73693,74259,74774,75245,75663,75998
AntiguaandBarbuda,276,,,69786,71314,73180,75991,78367,78667,78160,77570,78958,81613,81896,81247,80435,80689,80392,79960,79294,78403,77300,75999,74513,72923,71391,70019,68843,67743,66634,65590,64690,63925,63244
Aruba,438,,,14,15,17,19,21,23,26,27,29,31,33,35,36,38,39,40,41,42,42,43,43,43,44,44,44,45,45,46,46,46,47
Bahamas,442,,,296,305,315,330,340,354,364,367,382,408,436,458,508,567,605,644,678,711,743,774,803,831,858,883,907,930,952,973,993,1012,1030
Barbados,492,,,20,20,22,23,23,25,27,29,29,31,32,34,37,38,38,39,40,41,42,43,44,45,46,47,48,49,51,52,53,54,55
BritishVirginIslands,528,,,10027,10681,11419,12216,12965,13611,14103,14472,14915,15451,15894,16332,16632,16925,17185,17418,17605,17715,17738,17686,17602,17513,17435,17387,17371,17370,17358,17336,17302,17262,17220
CaribbeanNetherlands,756,,,4668,4971,5296,5830,6169,6356,6304,6456,6674,7017,7166,7409,7831,8299,8654,8952,9223,9457,9660,9845,10019,10172,10304,10424,10543,10660,10775,10891,11011,11131,11245
CaymanIslands,904,,,168844,193205,221190,253874,288494,325812,365035,405906,446889,487326,526890,563826,599823,634387,666502,695584,721067,742747,760484,774305,784247,790450,792959,791917,787631,780546,771201,760090,747781,734679,721224
Cuba,915,,,17076,18798,20724,23088,25306,27629,29748,31920,34198,36375,38314,40028,41621,43199,44552,45729,46700,47441,47923,48146,48100,47818,47334,46691,45940,45111,44224,43268,42269,41263,40262
Curaçao,660,,,5,6,6,6,6,7,7,7,8,10,11,13,14,15,15,16,16,16,16,15,15,15,14,14,14,13,13,12,12,12,11
Dominica,28,,,46,53,55,60,65,69,70,66,62,68,78,83,87,92,96,101,105,108,111,113,114,115,116,116,117,117,117,116,115,115,114
DominicanRepublic,533,,,38,44,54,57,59,61,60,63,62,80,91,100,102,104,105,106,107,107,106,104,102,99,98,96,95,93,92,90,88,86,84
Grenada,44,,,79,89,110,140,169,189,211,235,256,280,298,329,361,388,410,429,446,460,471,480,489,495,500,503,505,506,505,504,502,500,498
Guadeloupe,52,,,211,227,231,235,239,246,252,256,260,265,270,274,280,284,288,290,290,290,288,285,282,278,275,273,271,269,267,265,263,261,259
Haiti,92,,,7,8,8,9,10,10,11,13,16,18,21,23,27,30,33,34,35,36,37,37,38,38,38,38,38,37,37,37,37,36,36
Jamaica,535,,,7,8,8,9,10,11,11,12,13,15,14,14,21,25,26,27,28,29,29,30,30,30,30,30,31,31,31,31,31,32,32
Martinique,136,,,6,7,8,8,9,12,16,19,25,32,42,49,56,60,64,68,71,74,77,79,82,84,85,87,90,92,94,95,97,98,99
Montserrat,192,,,5920,6539,7141,7952,8715,9438,9835,10083,10582,10906,11117,11261,11308,11390,11366,11319,11237,11103,10909,10654,10339,9972,9573,9170,8795,8462,8162,7871,7591,7335,7103
PuertoRico,531,,,100,117,127,134,144,150,148,150,147,144,132,129,148,157,164,170,175,179,183,186,189,192,194,197,199,202,204,205,206,207,208
SaintKittsandNevis,212,,,51,55,60,65,71,72,75,74,71,71,70,71,71,73,74,76,76,76,76,75,74,73,71,69,67,65,62,59,57,54,52
SaintLucia,214,,,2365,2781,3294,3879,4503,5150,5809,6489,7184,7892,8563,9238,9898,10528,11107,11626,12087,12491,12819,13069,13238,13339,13377,13358,13288,13168,13005,12802,12567,12308,12027
SaintVincentandtheGrenadines,308,,,77,81,90,95,94,92,89,100,96,100,102,103,105,107,109,111,112,112,112,112,110,108,105,101,98,93,89,84,80,76,72
SintMaarten(Dutchpart),312,,,210,236,275,300,319,328,331,359,390,408,431,451,457,468,478,485,491,496,500,501,498,492,485,478,473,468,463,458,452,445,437
TrinidadandTobago,332,,,3221,3514,3866,4271,4709,5140,5689,6384,7100,7820,8549,9263,10000,10711,11378,12005,12578,13090,13534,13903,14189,14395,14523,14574,14552,14466,14338,14173,13981,13770,13544
TurksandCaicosIslands,388,,,1403,1543,1631,1763,1873,2018,2142,2312,2386,2490,2600,2678,2741,2793,2840,2867,2867,2846,2811,2765,2710,2641,2558,2465,2362,2253,2139,2024,1910,1803,1704
UnitedStatesVirginIslands,474,,,222,246,282,311,325,328,325,340,358,369,387,397,395,396,395,393,391,387,380,370,358,346,336,328,321,317,312,308,302,296,289
Belize,630,,,2218,2247,2356,2578,2710,2932,3188,3370,3518,3690,3797,3761,3710,3683,3675,3660,3638,3597,3536,3459,3367,3265,3155,3038,2916,2792,2667,2543,2425,2313,2212
CostaRica,659,,,46,48,51,49,45,44,43,42,41,43,46,49,52,56,58,61,63,65,66,67,68,68,68,68,67,67,66,65,65,64,63
ElSalvador,662,,,83,87,90,96,104,110,118,126,138,147,157,165,177,185,192,197,202,205,207,208,207,206,203,200,197,193,188,183,178,173,168
Guatemala,670,,,67,74,81,86,90,96,101,104,108,108,108,109,109,109,111,112,112,112,112,111,109,107,104,101,98,95,91,88,84,81,77
Honduras,534,,,1,2,3,4,7,10,13,19,29,31,32,33,33,39,41,44,46,48,49,51,52,53,55,56,57,58,59,60,61,62,63
Mexico,780,,,646,740,848,912,946,1011,1085,1171,1222,1255,1268,1297,1328,1360,1378,1380,1372,1359,1341,1319,1291,1259,1223,1186,1150,1117,1087,1059,1033,1008,984
Nicaragua,796,,,5,5,6,6,6,7,8,10,12,15,19,26,31,34,37,39,42,44,45,47,48,49,49,50,51,51,51,52,52,52,52
Panama,850,,,27,29,33,50,64,86,98,105,103,107,109,108,106,106,107,107,106,105,103,100,97,94,91,88,85,83,80,78,75,72,69
Argentina,84,,,69,80,92,106,122,133,144,165,188,207,247,283,322,359,398,436,472,505,535,563,588,610,629,644,656,664,670,674,676,677,677
Bolivia(PlurinationalStateof),188,,,959,1120,1333,1590,1849,2097,2389,2730,3096,3511,3925,4248,4545,4808,5044,5246,5413,5548,5650,5721,5759,5766,5746,5701,5635,5550,5446,5331,5214,5100,4993
Brazil,222,,,2200,2429,2763,3198,3669,4148,4578,4921,5252,5589,5812,5947,6038,6127,6231,6329,6408,6464,6476,6450,6390,6302,6183,6034,5855,5649,5417,5167,4911,4658,4420
Chile,320,,,3146,3614,4128,4728,5423,6238,7119,8117,9159,10357,11689,13184,14732,16343,18015,19720,21424,23103,24730,26287,27754,29112,30337,31417,32344,33118,33742,34211,34539,34735,34812
Colombia,340,,,1487,1717,2002,2353,2691,3108,3636,4237,4903,5591,6243,6880,7504,8075,8651,9212,9737,10206,10607,10943,11217,11429,11576,11655,11662,11601,11481,11312,11106,10881,10646
Ecuador,484,,,28013,32605,38174,44623,52030,60872,69331,77323,85609,94427,102809,109748,118618,127017,134837,141924,148133,153404,157762,161213,163754,165390,166111,165942,164969,163336,161119,158386,155266,151894,148404
FalklandIslands(Malvinas),558,,,1295,1508,1775,2063,2398,2797,3250,3709,4145,4612,5027,5379,5738,6082,6418,6736,7033,7306,7537,7723,7863,7958,8006,8007,7958,7863,7730,7567,7386,7194,6996
FrenchGuiana,591,,,860,981,1133,1315,1519,1745,1979,2219,2471,2738,3029,3319,3621,3929,4231,4517,4781,5020,5238,5431,5599,5740,5854,5942,6006,6049,6074,6082,6073,6048,6012
Guyana,931,,,113739,130352,149066,170811,193486,217046,242862,270565,297869,323919,349796,374809,397085,418447,438126,455735,470966,483750,494027,501829,507223,510325,511183,509883,506606,501606,495299,488091,480342,472229,464003
Paraguay,32,,,17150,18929,20619,22283,23973,26067,28106,30389,32730,34995,37057,39145,41223,43417,45517,47500,49365,51099,52699,54153,55445,56556,57470,58164,58646,58946,59100,59127,59042,58854,58572
Peru,68,,,3090,3365,3693,4071,4506,5009,5590,6212,6856,7567,8340,9125,9918,10725,11548,12370,13177,13952,14679,15352,15963,16507,16978,17367,17676,17907,18066,18161,18199,18181,18118
Suriname,76,,,53975,62656,72494,84130,95982,108431,122200,136836,150393,162755,175786,188479,198614,207848,215997,222976,228663,233006,236015,237744,238270,237686,236014,233297,229664,225267,220413,215337,210255,205198,200305
Uruguay,152,,,6143,6862,7696,8612,9562,10421,11234,12109,13141,14194,15170,16097,17015,17948,18842,19639,20250,20751,21142,21423,21601,21677,21662,21568,21412,21208,20956,20664,20348,20038,19744
Venezuela(BolivarianRepublicof),170,,,12341,14225,16480,19144,22061,24757,27738,31012,34272,37442,40404,43286,45918,48229,50229,51878,53175,54125,54723,54983,54927,54615,54073,53347,52451,51409,50245,49015,47765,46522,45321
Bermuda,238,,,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Canada,254,,,25,28,32,39,48,56,67,86,116,137,163,203,234,269,304,341,381,422,463,505,546,586,626,665,703,740,775,808,838,866,891
Greenland,328,,,407,485,564,650,696,740,787,765,720,727,742,742,753,767,787,807,821,826,824,816,806,796,783,768,749,726,699,672,645,619,595
SaintPierreandMiquelon,600,,,1473,1673,1903,2171,2474,2791,3181,3672,4214,4761,5303,5795,6210,6639,7067,7474,7845,8175,8458,8697,8895,9052,9162,9223,9234,9199,9126,9028,8915,8794,8665
UnitedStatesofAmerica,604,,,7728,8787,10062,11608,13341,15230,17359,19545,21827,24039,25915,27610,29374,31377,33317,35152,36855,38391,39754,40928,41899,42656,43196,43531,43672,43633,43432,43104,42665,42142,41557
Australia/NewZealand,858,,,2239,2373,2539,2695,2810,2830,2916,3012,3110,3225,3321,3326,3374,3432,3495,3550,3596,3630,3653,3665,3667,3659,3642,3615,3579,3535,3486,3432,3374,3315,3258
Australia,862,,,5482,6758,8147,9825,11588,13361,15344,17508,19862,22189,24481,26769,28996,31108,33116,34978,36673,38191,39513,40636,41562,42295,42847,43229,43442,43499,43401,43176,42841,42419,41927
NewZealand,905,,,171615,186602,204167,219189,231029,242215,254217,266658,280633,295700,313724,328524,344129,357838,371269,384274,396278,406905,416364,424930,433114,441089,449146,457200,464959,472164,478681,484602,490113,495300,500143
Melanesia,60,,,37,41,45,49,52,55,57,59,61,63,64,65,64,62,61,60,59,58,57,55,54,52,50,49,48,47,46,45,44,43,42
Fiji,124,,,13737,15734,17909,19694,21439,23141,24516,25848,27662,29299,30702,32256,34126,35940,37600,39066,40390,41518,42479,43340,44136,44853,45534,46199,46841,47431,47955,48427,48865,49279,49668
NewCaledonia,304,,,23,26,31,38,46,50,50,53,56,56,56,57,57,56,56,57,57,56,55,54,52,51,50,49,48,47,46,44,43,42,41
PapuaNewGuinea,666,,,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
SolomonIslands,840,,,157813,170796,186177,199404,209486,218964,229588,240692,252848,266276,282896,296140,309876,321774,333546,345085,355765,365266,373767,381474,388865,396125,403504,410895,418014,424632,430628,436078,441154,445929,450385
Vanuatu,909,,,12682,14175,15784,17502,19688,21498,22972,24873,26971,29054,31068,33369,36411,39331,42131,44791,47361,49809,52150,54413,56609,58684,60626,62432,64106,65637,67028,68253,69340,70302,71129
Micronesia,927,,,10085,11349,12664,13996,15724,16976,17855,19059,20494,21800,22965,24409,26532,28497,30327,32007,33585,35046,36427,37774,39104,40363,41542,42647,43687,44661,45572,46397,47156,47857,48483
Guam,36,,,8177,9213,10292,11368,12905,13893,14708,15791,17097,18125,19107,20274,22163,23969,25598,27084,28482,29785,31032,32264,33496,34673,35780,36816,37788,38700,39556,40342,41078,41766,42389
Kiribati,554,,,1908,2136,2372,2628,2820,3083,3147,3268,3398,3675,3858,4135,4369,4529,4730,4923,5103,5261,5395,5509,5607,5690,5762,5831,5899,5962,6016,6055,6079,6090,6094
MarshallIslands,928,,,2199,2381,2620,2927,3306,3808,4339,4944,5514,6208,6993,7816,8716,9623,10542,11476,12419,13358,14275,15157,15996,16789,17534,18221,18844,19394,19872,20275,20610,20883,21096
Micronesia(Fed.Statesof),242,,,289,335,393,464,521,577,635,712,729,775,811,822,860,892,915,931,940,944,943,936,924,908,890,870,847,824,799,774,749,722,696
Nauru,540,,,65,68,78,91,105,128,142,154,169,189,210,229,246,263,280,296,311,326,339,352,363,374,383,391,399,405,409,413,416,418,419
NorthernMarianaIslands,598,,,1708,1821,1967,2161,2435,2810,3215,3678,4158,4716,5374,6087,6848,7619,8413,9228,10057,10885,11699,12486,13240,13958,14634,15261,15831,16337,16780,17158,17475,17739,17951
Palau,90,,,90,102,118,137,160,193,231,271,312,359,412,469,526,584,640,698,757,818,878,937,992,1045,1095,1142,1187,1227,1262,1292,1316,1337,1354
Polynesia,548,,,48,55,64,74,85,100,116,130,147,168,185,209,236,265,294,324,354,385,416,446,476,504,531,557,580,602,621,639,654,667,677
AmericanSamoa,954,,,155,171,191,218,248,272,304,357,415,467,497,503,502,526,552,579,607,632,655,674,690,704,716,726,735,741,746,748,749,747,744
CookIslands,316,,,60,63,67,75,84,93,104,117,130,146,155,158,159,170,180,191,200,209,216,222,228,232,236,239,242,243,245,245,244,243,242
FrenchPolynesia,296,,,33,37,41,46,51,55,59,64,72,78,84,92,103,112,122,132,142,150,159,169,178,187,195,203,210,217,224,230,235,240,244
Niue,584,,,13,14,15,17,20,26,31,38,47,51,52,52,52,53,53,54,56,59,62,65,67,67,69,70,73,75,76,76,76,76,75
Samoa,583,,,32,38,45,52,61,63,73,86,96,108,107,106,104,104,108,112,118,122,125,127,129,131,132,132,131,129,127,124,121,119,116
Tokelau,520,,,3,4,4,6,6,7,7,8,9,10,10,10,10,10,10,11,11,11,11,11,11,10,10,10,10,10,9,9,9,9,9
Tonga,580,,,7,8,10,11,13,15,17,30,44,58,68,64,54,55,56,56,56,56,55,53,51,48,45,42,40,38,36,34,32,30,29
Tuvalu,585,,,7,8,10,11,11,12,12,14,15,17,19,20,20,21,22,24,25,26,27,27,28,28,29,29,29,30,30,30,30,29,29
WallisandFutunaIslands,957,,,242,274,308,360,410,443,475,513,548,579,612,641,660,684,710,729,751,774,793,808,819,827,833,838,841,841,838,832,824,815,805
